text,sentiment
I love this product so much!,positive
The service was absolutely terrible.,negative
"It's okay, not the best but not the worst.",neutral
I’m really happy with my experience.,positive
This is the worst thing I’ve ever bought.,negative
Totally satisfied with the purchase!,positive
I wouldn’t recommend this to anyone.,negative
"It was fine, just not what I expected.",neutral
Amazing quality and fast shipping.,positive
I hate how slow the response was.,negative
Everything went smoothly and easily.,positive
It didn’t meet my expectations.,negative
"Meh, it’s alright I guess.",neutral
Fantastic support from the team!,positive
"Terrible experience, never again.",negative
I feel indifferent about the results.,neutral
Exceeded all my expectations!,positive
Very poor performance for the price.,negative
"It works, but nothing special.",neutral
Absolutely love the new update!,positive
